Job.ID, job_Title,Comp_ID,Loc.ID,SalID,Post.Date
1,QA tst Engr,124,55,1,07/10/2025
2,backend engr,139,59,2,Oct 07 2025
3,AI-ML Dev,6,26,3,Oct 07 2025
4,AI-ML Dev,128,36,4,2025/10/07
5,data engineer,36,37,5,10-07-25
6,Data Analyst,95,44,6,"October 07, 2025"
7,Jr. data ANALYST,44,64,7,2025/10/07
8,QA tst Engr,81,28,8,10-07-25
9,lead AI Engineer,80,61,9,"October 07, 2025"
10,AI-ML Dev,92,50,10,2025/10/07
11,lead AI Engineer,69,22,11,2025-10-07
12,data engineer,35,18,12,2025/10/07
13,QA tst Engr,22,48,13,N/A
14,Data Analyst,150,44,14,N/A
15,Softwre Dev,19,69,15,2025-10-07
16,data engineer,72,51,16,10-07-25
17,AI-ML Dev,92,34,17,07/10/2025
18,AI-ML Dev,131,49,18,2025-10-07
19,Ai ml engineer,105,32,19,10-07-25
20,devops engneer,150,63,20,10-07-25
21,DATA ENG.,70,61,21,"October 07, 2025"
22,Softwre Dev,133,52,22,Oct 07 2025
23,DATA ENG.,101,17,23,2025/10/07
24,devops engneer,23,20,24,2025/10/07
25,Machine Learning Engnieer,23,3,25,07/10/2025
26,Data Analyst,37,39,26,Oct 07 2025
27,Data Analyst,138,48,27,"October 07, 2025"
28,devops engneer,39,45,28,"October 07, 2025"
29,python developer,95,37,29,2025/10/07
30,Fullstack Develper,3,5,30,2025-10-07
31,Ai ml engineer,35,27,31,"October 07, 2025"
32,Fullstack Develper,54,59,32,2025/10/07
33,python developer,106,54,33,07/10/2025
34,devops engneer,100,17,34,2025-10-07
35,data engineer,82,54,35,2025/10/07
36,python developer,145,53,36,Oct 07 2025
37,etl spclist,48,14,37,07/10/2025
38,Fullstack Develper,144,44,38,Oct 07 2025
39,Machine Learning Engnieer,111,60,39,"October 07, 2025"
40,Jr. data ANALYST,127,14,40,2025/10/07
41,Softwre Dev,26,67,41,07/10/2025
42,Softwre Dev,93,25,42,2025-10-07
43,python developer,120,13,43,2025/10/07
44,devops engneer,12,46,44,Oct 07 2025
45,backend engr,120,62,45,"October 07, 2025"
46,python developer,116,33,46,2025-10-07
47,python developer,36,55,47,10-07-25
48,backend engr,121,46,48,07/10/2025
49,AI-ML Dev,87,51,49,2025-10-07
50,python developer,17,27,50,10-07-25
51,lead AI Engineer,6,57,51,"October 07, 2025"
52,etl spclist,147,12,52,10-07-25
53,Ai ml engineer,91,32,53,10-07-25
54,Machine Learning Engnieer,18,16,54,"October 07, 2025"
55,etl spclist,145,42,55,Oct 07 2025
56,QA tst Engr,46,50,56,10-07-25
57,data engineer,149,38,57,Oct 07 2025
58,Data Analyst,94,5,58,"October 07, 2025"
59,backend engr,60,32,59,"October 07, 2025"
60,backend engr,52,9,60,07/10/2025
61,Data Analyst,75,62,61,07/10/2025
62,Jr. data ANALYST,93,57,62,2025/10/07
63,Fullstack Develper,116,58,63,"October 07, 2025"
64,Jr. data ANALYST,43,43,64,10-07-25
65,Data Analyst,75,52,65,"October 07, 2025"
66,devops engneer,126,22,66,"October 07, 2025"
67,Ai ml engineer,78,26,67,"October 07, 2025"
68,python developer,60,57,68,Oct 07 2025
69,Ai ml engineer,36,55,69,unknown
70,python developer,148,62,70,10-07-25
71,python developer,33,44,71,2025/10/07
72,DATA ENG.,108,11,72,10-07-25
73,Data Analyst,98,55,73,07/10/2025
74,Fullstack Develper,39,40,74,2025-10-07
75,data engineer,127,9,75,Oct 07 2025
76,lead AI Engineer,109,57,76,10-07-25
77,Jr. data ANALYST,35,25,77,2025-10-07
78,Softwre Dev,84,19,78,"October 07, 2025"
79,Data Analyst,56,50,79,
80,Machine Learning Engnieer,115,14,80,10-07-25
81,Machine Learning Engnieer,137,37,81,10-07-25
82,DATA ENG.,45,44,82,2025/10/07
83,devops engneer,18,38,83,10-07-25
84,QA tst Engr,66,53,84,2025/10/07
85,Ai ml engineer,79,16,85,07/10/2025
86,AI-ML Dev,50,44,86,10-07-25
87,QA tst Engr,149,42,87,"October 07, 2025"
88,data engineer,82,28,88,10-07-25
89,Ai ml engineer,146,19,89,07/10/2025
90,Ai ml engineer,92,42,90,2025-10-07
91,Fullstack Develper,6,5,91,2025/10/07
92,AI-ML Dev,31,48,92,Oct 07 2025
93,DATA ENG.,98,65,93,2025/10/07
94,etl spclist,46,1,94,Oct 07 2025
95,data engineer,104,1,95,Oct 07 2025
96,Fullstack Develper,89,18,96,07/10/2025
97,etl spclist,99,53,97,10-07-25
98,Jr. data ANALYST,56,58,98,Oct 07 2025
99,Machine Learning Engnieer,69,16,99,Oct 07 2025
100,Fullstack Develper,81,65,100,10-07-25
101,data engineer,103,16,101,2025/10/07
102,Softwre Dev,119,54,102,2025/10/07
103,AI-ML Dev,87,62,103,10-07-25
104,Softwre Dev,55,4,104,10-07-25
105,Jr. data ANALYST,74,15,105,"October 07, 2025"
106,Jr. data ANALYST,59,32,106,10-07-25
107,data engineer,3,50,107,10-07-25
108,Ai ml engineer,70,21,108,10-07-25
109,Data Analyst,39,14,109,2025-10-07
110,Ai ml engineer,85,14,110,Oct 07 2025
111,Fullstack Develper,29,10,111,07/10/2025
112,DATA ENG.,17,16,112,2025/10/07
113,Fullstack Develper,5,43,113,10-07-25
114,DATA ENG.,124,41,114,"October 07, 2025"
115,Softwre Dev,125,28,115,Oct 07 2025
116,Machine Learning Engnieer,50,51,116,2025/10/07
117,AI-ML Dev,80,31,117,Oct 07 2025
118,AI-ML Dev,22,55,118,
119,AI-ML Dev,23,47,119,Oct 07 2025
120,Data Analyst,118,33,120,2025-10-07
121,backend engr,38,50,121,2025/10/07
122,DATA ENG.,95,10,122,2025-10-07
123,lead AI Engineer,133,46,123,07/10/2025
124,Fullstack Develper,16,25,124,"October 07, 2025"
125,Softwre Dev,145,26,125,2025/10/07
126,Jr. data ANALYST,6,44,126,07/10/2025
127,etl spclist,116,68,127,Oct 07 2025
128,QA tst Engr,43,45,128,07/10/2025
129,Softwre Dev,59,42,129,"October 07, 2025"
130,data engineer,119,50,130,"October 07, 2025"
131,Fullstack Develper,23,70,131,2025-10-07
132,backend engr,77,24,132,07/10/2025
133,DATA ENG.,29,18,133,2025-10-07
134,python developer,69,52,134,07/10/2025
135,DATA ENG.,72,16,135,Oct 07 2025
136,Jr. data ANALYST,117,19,136,07/10/2025
137,DATA ENG.,111,47,137,"October 07, 2025"
138,lead AI Engineer,128,18,138,Oct 07 2025
139,Machine Learning Engnieer,96,35,139,2025-10-07
140,Ai ml engineer,47,64,140,10-07-25
141,Jr. data ANALYST,59,2,141,2025/10/07
142,QA tst Engr,107,49,142,2025/10/07
143,QA tst Engr,14,70,143,2025/10/07
144,DATA ENG.,90,68,144,"October 07, 2025"
145,Fullstack Develper,109,60,145,10-07-25
146,lead AI Engineer,110,23,146,2025-10-07
147,python developer,52,42,147,"October 07, 2025"
148,AI-ML Dev,108,38,148,2025/10/07
149,Softwre Dev,132,41,149,
150,backend engr,111,25,150,"October 07, 2025"
151,etl spclist,19,16,151,07/10/2025
152,Machine Learning Engnieer,126,14,152,07/10/2025
153,devops engneer,100,51,153,2025-10-07
154,Softwre Dev,72,5,154,Oct 07 2025
155,QA tst Engr,92,1,155,Oct 07 2025
156,Softwre Dev,23,57,156,Oct 07 2025
157,etl spclist,62,70,157,"October 07, 2025"
158,Machine Learning Engnieer,58,69,158,"October 07, 2025"
159,lead AI Engineer,30,57,159,2025/10/07
160,Ai ml engineer,136,58,160,"October 07, 2025"
161,Ai ml engineer,78,70,161,"October 07, 2025"
162,lead AI Engineer,124,6,162,10-07-25
163,etl spclist,135,29,163,10-07-25
164,AI-ML Dev,74,40,164,Oct 07 2025
165,Jr. data ANALYST,2,17,165,"October 07, 2025"
166,lead AI Engineer,19,26,166,"October 07, 2025"
167,data engineer,108,58,167,2025/10/07
168,DATA ENG.,48,37,168,??
169,AI-ML Dev,118,27,169,2025/10/07
170,data engineer,115,68,170,10-07-25
171,DATA ENG.,99,30,171,"October 07, 2025"
172,DATA ENG.,26,48,172,"October 07, 2025"
173,Data Analyst,95,10,173,"October 07, 2025"
174,etl spclist,90,20,174,07/10/2025
175,AI-ML Dev,45,50,175,"October 07, 2025"
176,Jr. data ANALYST,95,53,176,10-07-25
177,Fullstack Develper,5,59,177,"October 07, 2025"
178,Data Analyst,13,17,178,"October 07, 2025"
179,AI-ML Dev,87,53,179,2025-10-07
180,DATA ENG.,139,8,180,"October 07, 2025"
181,QA tst Engr,33,51,181,2025-10-07
182,backend engr,69,44,182,Oct 07 2025
183,AI-ML Dev,110,53,183,"October 07, 2025"
184,Machine Learning Engnieer,123,11,184,Oct 07 2025
185,Jr. data ANALYST,72,61,185,10-07-25
186,Fullstack Develper,23,45,186,10-07-25
187,backend engr,100,31,187,07/10/2025
188,QA tst Engr,141,51,188,"October 07, 2025"
189,Jr. data ANALYST,99,2,189,10-07-25
190,DATA ENG.,57,41,190,10-07-25
191,lead AI Engineer,140,62,191,10-07-25
192,lead AI Engineer,22,18,192,10-07-25
193,DATA ENG.,78,13,193,10-07-25
194,devops engneer,144,16,194,"October 07, 2025"
195,AI-ML Dev,49,6,195,10-07-25
196,devops engneer,97,22,196,Oct 07 2025
197,data engineer,26,22,197,"October 07, 2025"
198,python developer,95,8,198,10-07-25
199,Machine Learning Engnieer,17,20,199,2025/10/07
200,Machine Learning Engnieer,144,15,200,2025/10/07
201,QA tst Engr,80,8,201,2025-10-07
202,lead AI Engineer,2,43,202,2025/10/07
203,Ai ml engineer,12,33,203,2025/10/07
204,python developer,56,42,204,2025/10/07
205,data engineer,22,19,205,2025-10-07
206,lead AI Engineer,64,68,206,07/10/2025
207,python developer,72,7,207,"October 07, 2025"
208,QA tst Engr,81,42,208,2025/10/07
209,devops engneer,82,55,209,2025/10/07
210,Softwre Dev,87,43,210,2025-10-07
211,Ai ml engineer,133,68,211,2025-10-07
212,Jr. data ANALYST,58,19,212,Oct 07 2025
213,DATA ENG.,81,33,213,Oct 07 2025
214,Machine Learning Engnieer,67,60,214,Oct 07 2025
215,Softwre Dev,80,45,215,10-07-25
216,Machine Learning Engnieer,129,35,216,2025/10/07
217,Jr. data ANALYST,17,17,217,07/10/2025
218,Jr. data ANALYST,76,29,218,10-07-25
219,Machine Learning Engnieer,145,56,219,Oct 07 2025
220,python developer,107,45,220,2025/10/07
221,QA tst Engr,48,56,221,2025-10-07
222,backend engr,140,20,222,"October 07, 2025"
223,lead AI Engineer,26,30,223,"October 07, 2025"
224,Ai ml engineer,135,4,224,"October 07, 2025"
225,lead AI Engineer,40,44,225,2025-10-07
226,devops engneer,42,61,226,Oct 07 2025
227,backend engr,21,15,227,2025/10/07
228,etl spclist,1,28,228,2025-10-07
229,AI-ML Dev,9,19,229,10-07-25
230,lead AI Engineer,101,16,230,07/10/2025
231,Ai ml engineer,65,14,231,Oct 07 2025
232,devops engneer,58,52,232,07/10/2025
233,etl spclist,32,43,233,"October 07, 2025"
234,Jr. data ANALYST,63,69,234,10-07-25
235,devops engneer,90,49,235,2025-10-07
236,Softwre Dev,95,30,236,07/10/2025
237,QA tst Engr,136,28,237,2025-10-07
238,lead AI Engineer,118,49,238,07/10/2025
239,etl spclist,131,69,239,2025-10-07
240,DATA ENG.,106,34,240,10-07-25
241,data engineer,135,51,241,10-07-25
242,etl spclist,72,11,242,N/A
243,data engineer,30,48,243,Oct 07 2025
244,QA tst Engr,128,14,244,07/10/2025
245,Softwre Dev,104,56,245,"October 07, 2025"
246,Jr. data ANALYST,44,9,246,"October 07, 2025"
247,Jr. data ANALYST,140,18,247,Oct 07 2025
248,Softwre Dev,22,23,248,2025/10/07
249,lead AI Engineer,76,25,249,"October 07, 2025"
250,Fullstack Develper,9,65,250,2025-10-07
251,Jr. data ANALYST,75,67,251,07/10/2025
252,DATA ENG.,127,43,252,10-07-25
253,Ai ml engineer,81,63,253,"October 07, 2025"
254,python developer,68,60,254,2025-10-07
255,Softwre Dev,87,39,255,Oct 07 2025
256,Fullstack Develper,134,2,256,10-07-25
257,Jr. data ANALYST,87,11,257,07/10/2025
258,data engineer,56,7,258,Oct 07 2025
259,lead AI Engineer,84,8,259,2025/10/07
260,Data Analyst,138,54,260,2025-10-07
261,lead AI Engineer,64,35,261,2025/10/07
262,QA tst Engr,87,59,262,2025-10-07
263,Softwre Dev,98,22,263,2025/10/07
264,Ai ml engineer,138,29,264,2025/10/07
265,Fullstack Develper,50,16,265,2025-10-07
266,Data Analyst,49,31,266,07/10/2025
267,backend engr,106,32,267,"October 07, 2025"
268,QA tst Engr,10,64,268,2025/10/07
269,AI-ML Dev,100,24,269,10-07-25
270,backend engr,63,21,270,Oct 07 2025
271,Softwre Dev,24,8,271,Oct 07 2025
272,data engineer,131,39,272,Oct 07 2025
273,python developer,2,12,273,unknown
274,DATA ENG.,85,54,274,10-07-25
275,data engineer,56,40,275,"October 07, 2025"
276,lead AI Engineer,9,52,276,Oct 07 2025
277,data engineer,107,55,277,2025/10/07
278,backend engr,18,54,278,2025/10/07
279,Softwre Dev,8,37,279,10-07-25
280,AI-ML Dev,51,28,280,Oct 07 2025
281,Softwre Dev,126,59,281,Oct 07 2025
282,Jr. data ANALYST,8,25,282,07/10/2025
283,Machine Learning Engnieer,56,17,283,Oct 07 2025
284,QA tst Engr,139,55,284,2025-10-07
285,devops engneer,50,33,285,Oct 07 2025
286,backend engr,43,9,286,2025/10/07
287,Softwre Dev,53,63,287,Oct 07 2025
288,python developer,76,21,288,07/10/2025
289,data engineer,149,54,289,10-07-25
290,DATA ENG.,129,2,290,Oct 07 2025
291,Ai ml engineer,29,29,291,2025/10/07
292,Machine Learning Engnieer,116,5,292,"October 07, 2025"
293,DATA ENG.,67,51,293,"October 07, 2025"
294,lead AI Engineer,2,7,294,10-07-25
295,Jr. data ANALYST,129,20,295,"October 07, 2025"
296,AI-ML Dev,11,23,296,10-07-25
297,Jr. data ANALYST,61,44,297,2025/10/07
298,Jr. data ANALYST,114,47,298,10-07-25
299,devops engneer,5,37,299,"October 07, 2025"
300,Data Analyst,129,50,300,10-07-25
301,python developer,59,63,301,Oct 07 2025
302,Fullstack Develper,56,41,302,2025-10-07
303,Machine Learning Engnieer,93,15,303,07/10/2025
304,DATA ENG.,126,7,304,Oct 07 2025
305,QA tst Engr,97,48,305,"October 07, 2025"
306,data engineer,65,23,306,07/10/2025
307,Machine Learning Engnieer,77,15,307,"October 07, 2025"
308,Jr. data ANALYST,108,40,308,07/10/2025
309,data engineer,112,70,309,unknown
310,Fullstack Develper,57,13,310,N/A
311,Fullstack Develper,2,49,311,Oct 07 2025
312,backend engr,5,3,312,2025/10/07
313,Ai ml engineer,68,28,313,2025/10/07
314,Ai ml engineer,9,22,314,10-07-25
315,devops engneer,144,40,315,10-07-25
316,etl spclist,63,38,316,07/10/2025
317,Jr. data ANALYST,64,7,317,"October 07, 2025"
318,Data Analyst,138,63,318,2025/10/07
319,Jr. data ANALYST,68,69,319,2025/10/07
320,devops engneer,76,55,320,2025/10/07
321,Jr. data ANALYST,82,14,321,10-07-25
322,QA tst Engr,144,24,322,"October 07, 2025"
323,Ai ml engineer,86,10,323,Oct 07 2025
324,python developer,13,43,324,07/10/2025
325,Fullstack Develper,51,22,325,"October 07, 2025"
326,backend engr,119,49,326,
327,AI-ML Dev,47,42,327,07/10/2025
328,backend engr,35,19,328,07/10/2025
329,lead AI Engineer,61,55,329,07/10/2025
330,AI-ML Dev,95,4,330,07/10/2025
331,QA tst Engr,58,14,331,"October 07, 2025"
332,AI-ML Dev,118,12,332,10-07-25
333,Fullstack Develper,16,5,333,07/10/2025
334,Data Analyst,52,34,334,unknown
335,Fullstack Develper,33,17,335,"October 07, 2025"
336,Jr. data ANALYST,58,46,336,N/A
337,DATA ENG.,16,60,337,2025/10/07
338,python developer,116,16,338,Oct 07 2025
339,Jr. data ANALYST,19,50,339,2025/10/07
340,devops engneer,29,38,340,2025-10-07
341,etl spclist,19,57,341,2025-10-07
342,Data Analyst,133,48,342,Oct 07 2025
343,lead AI Engineer,113,1,343,2025/10/07
344,Machine Learning Engnieer,3,67,344,2025-10-07
345,etl spclist,117,11,345,10-07-25
346,AI-ML Dev,137,13,346,2025-10-07
347,lead AI Engineer,90,51,347,2025-10-07
348,etl spclist,28,55,348,07/10/2025
349,QA tst Engr,97,53,349,2025-10-07
350,QA tst Engr,44,57,350,Oct 07 2025
351,etl spclist,98,69,351,2025-10-07
352,Fullstack Develper,5,61,352,"October 07, 2025"
353,Ai ml engineer,46,14,353,Oct 07 2025
354,devops engneer,78,25,354,2025/10/07
355,Fullstack Develper,60,48,355,"October 07, 2025"
356,Data Analyst,56,35,356,2025-10-07
357,etl spclist,108,59,357,2025-10-07
358,Fullstack Develper,32,58,358,"October 07, 2025"
359,Jr. data ANALYST,67,13,359,2025-10-07
360,Data Analyst,45,53,360,10-07-25
361,data engineer,114,39,361,Oct 07 2025
362,Data Analyst,58,42,362,??
363,data engineer,83,48,363,2025-10-07
364,devops engneer,141,41,364,10-07-25
365,Softwre Dev,86,12,365,Oct 07 2025
366,Softwre Dev,149,53,366,2025-10-07
367,Softwre Dev,63,62,367,2025-10-07
368,devops engneer,12,42,368,??
369,Fullstack Develper,79,57,369,10-07-25
370,QA tst Engr,39,38,370,2025-10-07
371,Data Analyst,38,22,371,2025/10/07
372,DATA ENG.,65,50,372,10-07-25
373,etl spclist,134,49,373,Oct 07 2025
374,python developer,60,61,374,
375,lead AI Engineer,147,55,375,07/10/2025
376,AI-ML Dev,93,2,376,07/10/2025
377,QA tst Engr,22,4,377,2025-10-07
378,Fullstack Develper,91,37,378,Oct 07 2025
379,AI-ML Dev,121,33,379,2025/10/07
380,lead AI Engineer,8,55,380,2025-10-07
381,data engineer,106,49,381,"October 07, 2025"
382,data engineer,85,21,382,10-07-25
383,AI-ML Dev,89,64,383,unknown
384,Fullstack Develper,130,33,384,2025/10/07
385,Fullstack Develper,47,20,385,"October 07, 2025"
386,Jr. data ANALYST,99,54,386,Oct 07 2025
387,Machine Learning Engnieer,4,14,387,10-07-25
388,devops engneer,66,5,388,2025/10/07
389,AI-ML Dev,11,10,389,N/A
390,Softwre Dev,14,36,390,"October 07, 2025"
391,Data Analyst,73,52,391,2025/10/07
392,lead AI Engineer,95,44,392,unknown
393,Fullstack Develper,142,26,393,2025/10/07
394,backend engr,113,66,394,2025/10/07
395,Jr. data ANALYST,109,31,395,10-07-25
396,AI-ML Dev,44,8,396,2025/10/07
